lat,lon,Region,historic_forest_change,proj_forest_change
-88.0,30.0,Tropics,0.0,
-86.0,30.0,Tropics,0.0,
-84.0,30.0,Tropics,0.0,
-82.0,30.0,Tropics,0.0,
-80.0,30.0,Tropics,0.0,
-78.0,30.0,Tropics,0.0,
-76.0,30.0,Tropics,0.0,
-74.0,30.0,Tropics,0.0,
-72.0,30.0,Tropics,0.0,
-70.0,30.0,Tropics,0.0,
-68.0,30.0,Tropics,0.0,
-66.0,30.0,Tropics,0.0,
-64.0,30.0,Tropics,0.0,
-62.0,30.0,Tropics,0.0,
-60.0,30.0,Tropics,0.0,
-58.0,30.0,Tropics,0.0,
-56.0,30.0,Tropics,0.0,
-54.0,30.0,Tropics,0.0,
-52.0,30.0,Tropics,0.0,
-50.0,30.0,Tropics,0.0,
-48.0,30.0,Tropics,0.0,
-46.0,30.0,Tropics,0.0,
-44.0,30.0,Tropics,0.0,
-42.0,30.0,Tropics,0.0,
-40.0,30.0,Tropics,0.0,
-38.0,30.0,Tropics,0.0,
-36.0,30.0,Tropics,0.0,
-34.0,30.0,Tropics,0.0,
-32.0,30.0,Tropics,0.0,
-30.0,30.0,Tropics,0.0,
-28.0,-56.0,Tropics,-21.716774991282584,-1.140021195719026
-28.0,-50.0,Tropics,-0.22842499989408083,-5.004575471974711
-26.0,-54.0,Tropics,-0.1430000031799068,-13.395396639509293
-26.0,-52.0,Tropics,-5.967399998025591,-57.90361992857833
-24.0,-56.0,Tropics,-5.0742500086574225,-0.9000265164152111
-22.0,-44.0,Tropics,-0.46240000080447885,-6.424573787539717
-20.0,48.0,Tropics,-11.13674999974723,-28.444455151192557
-18.0,-64.0,Tropics,-8.526499995113483,-11.359590842827371
-18.0,146.0,Tropics,-3.0559499983721707,-2.024985201982042
-16.0,-68.0,Tropics,-0.3353750001856639,-2.1699898425614594
-16.0,-66.0,Tropics,-1.5897250007409411,-17.564075813516208
-14.0,-68.0,Tropics,-12.461899993551114,-6.965356892088309
-14.0,-64.0,Tropics,-0.7800750001274253,-26.414600136127426
-14.0,-62.0,Tropics,-0.15352500007807635,-0.4499758071610487
-14.0,-40.0,Tropics,-4.2698750000517975,-39.659279797874106
-14.0,50.0,Tropics,-24.883824992676594,-44.72951959677955
-12.0,-74.0,Tropics,-17.96242500749723,-14.659543619899553
-12.0,-72.0,Tropics,-0.10720000018802978,
-12.0,-70.0,Tropics,-0.19617499993476883,-0.9050408452149676
-12.0,-68.0,Tropics,-0.03247500013735305,
-12.0,-66.0,Tropics,-0.049999999994454924,
-12.0,-64.0,Tropics,-30.374950014238387,-1.144975253623378
-12.0,-60.0,Tropics,-0.020000000030790943,-1.2599740480271113
-12.0,-58.0,Tropics,-28.716799991373588,-0.9199981362953933
-12.0,-54.0,Tropics,-0.5625000044843489,
-12.0,-52.0,Tropics,-6.654775005211576,-1.815026492837497
-10.0,-170.0,Tropics,0.0,
-10.0,-74.0,Tropics,-13.390374995991081,-37.33001596866409
-10.0,-72.0,Tropics,-7.047162853268674e-11,-42.60155412279822
-10.0,-70.0,Tropics,-0.01500000006370783,-99.91000320560038
-10.0,-66.0,Tropics,-1.1622749992648949,
-10.0,-64.0,Tropics,-48.3321749947789,
-10.0,-62.0,Tropics,-9.196624995986355,-0.010000363677083842
-10.0,-60.0,Tropics,-2.6114500034252046,
-10.0,-58.0,Tropics,-56.140724989355796,-1.315034303042875
-10.0,-54.0,Tropics,-20.8520500056822,-0.6399755093083443
-10.0,-52.0,Tropics,-7.810575005257078,-14.874519118365445
-10.0,148.0,Tropics,-1.7916249988967365,-0.7549863998960021
-8.0,-166.0,Tropics,0.0,
-8.0,-76.0,Tropics,-1.4565999992281746,-33.950004865856194
-8.0,-74.0,Tropics,-0.07210000003951222,
-8.0,-72.0,Tropics,-0.027500002304279292,
-8.0,-70.0,Tropics,-3.8517999980005015,-22.605071579194465
-8.0,-68.0,Tropics,-0.012499999993394795,
-8.0,-66.0,Tropics,-2.249149999532122,
-8.0,-64.0,Tropics,-18.10717498954824,
-8.0,-62.0,Tropics,-2.1072249984478333,
-8.0,-60.0,Tropics,-0.012500000013147883,
-8.0,-58.0,Tropics,-0.027474999990900528,-0.2599948900979947
-8.0,-56.0,Tropics,-0.39744999991002317,
-8.0,-54.0,Tropics,-0.9487249997924181,-1.2150110790748925
-8.0,-52.0,Tropics,-0.0873500000733003,-0.06499729204415844
-8.0,114.0,Tropics,-9.19384999068022,-32.939703097239544
-8.0,138.0,Tropics,-0.9249500002550093,-7.42500376951173
-8.0,140.0,Tropics,-0.6650500006896749,-6.000034430903699
-8.0,142.0,Tropics,-12.62467498158852,-2.9099848765678806
-8.0,146.0,Tropics,-1.4217500033539352,-14.000027844960611
-6.0,-76.0,Tropics,-19.84244999346126,-2.775022960722136
-6.0,-74.0,Tropics,-0.15722500009228213,-32.54000086888152
-6.0,-72.0,Tropics,-0.012474999995461644,
-6.0,-70.0,Tropics,-0.007500000006629648,
-6.0,-68.0,Tropics,-0.00499999999829015,-23.640011242848168
-6.0,-66.0,Tropics,-7.247535904753022e-12,
-6.0,-64.0,Tropics,-0.005000000268850613,-6.629850681871439
-6.0,-62.0,Tropics,-1.5832500019899527,-0.6199886835359839
-6.0,-60.0,Tropics,-0.3274750008845473,
-6.0,-58.0,Tropics,-0.7208750002059077,
-6.0,-56.0,Tropics,-0.27987499991591847,-0.27500585598084476
-6.0,-54.0,Tropics,-1.051675001480902,-0.5249896173745089
-6.0,-52.0,Tropics,-10.442400007153196,-16.769626117715767
-6.0,-50.0,Tropics,-1.2969250002654036,-0.34498958089867326
-6.0,22.0,Tropics,-26.21950000294239,-94.24997163758336
-6.0,140.0,Tropics,-0.049950000338128575,-28.620034923243367
-6.0,142.0,Tropics,-0.09432500090750295,-1.1900018954179428
-6.0,144.0,Tropics,-0.419974999434956,-3.985004357218528
-6.0,146.0,Tropics,-3.1394999981491907,-1.120008940956751
-6.0,150.0,Tropics,-0.29702500006924026,-10.655001347766078
-4.0,-78.0,Tropics,-0.13159999992674898,-1.5500246780318028
-4.0,-76.0,Tropics,-8.256506589532364e-12,-32.92496328586793
-4.0,-74.0,Tropics,-0.012499999992101607,-0.4449910308032758
-4.0,-72.0,Tropics,-0.5671999997835542,
-4.0,-70.0,Tropics,-0.2071250022298159,-49.06459375012737
-4.0,-68.0,Tropics,-0.9017999996747221,-16.99474090331936
-4.0,-66.0,Tropics,-6.622258297284134e-12,
-4.0,-64.0,Tropics,-0.004999999999540705,
-4.0,-62.0,Tropics,-0.0825250001672373,-97.11999392038918
