Cat,Res,Region,mean,sem,median,ci68_hi,ci68_lo
Reanalysis,0.1,Amazon,-0.010599540932647013,0.06457607694906474,-0.0025192762883209352,0.05397653601641773,-0.07517561788171176
Reanalysis,0.1,Congo,0.24377937223867754,0.0744467932699697,0.022791537811114766,0.31822616550864724,0.16933257896870785
Reanalysis,0.1,SEA,-0.02342020790668414,0.14225034652675148,0.0004862055859743682,0.11883013862006733,-0.16567055443343562
Reanalysis,0.1,Tropics,0.0306349117287294,0.0542302178150072,0.002011088634109685,0.0848651295437366,-0.023595306086277797
Reanalysis,0.25,Amazon,0.07347229282916824,0.2435194254676355,-0.002407893478049377,0.3169917182968037,-0.17004713263846727
Reanalysis,0.25,Congo,-0.15093137104811327,0.3191097550122493,0.04366817840296891,0.16817838396413604,-0.4700411260603626
Reanalysis,0.25,SEA,0.8405470102403688,0.5857127012881701,0.007604146730717874,1.426259711528539,0.2548343089521987
Reanalysis,0.25,Tropics,0.21713906739262256,0.21472563613260304,0.011253723081743883,0.4318647035252256,0.0024134312600195273
Reanalysis,0.5,Amazon,-0.7263394943624761,0.7934945551363672,-0.020913831010671305,0.0671550607738911,-1.5198340494988434
Reanalysis,0.5,Congo,-1.006818681787468,0.8517941325076451,0.07956727217132366,-0.1550245492798229,-1.858612814295113
Reanalysis,0.5,SEA,4.128186303541039,1.6800144250677838,0.07115622396080702,5.808200728608822,2.4481718784732553
Reanalysis,0.5,Tropics,-0.01809085921199006,0.5931268204333559,0.013310034726637526,0.5750359612213658,-0.6112176796453459
Reanalysis,1.0,Amazon,-0.6206095332894991,1.4931725808466159,-0.05767118680779496,0.8725630475571168,-2.113782114136115
Reanalysis,1.0,Congo,1.8247482385440148,3.612152367552117,0.005118580323265163,5.436900606096132,-1.7874041290081024
Reanalysis,1.0,SEA,-0.34131957591905976,2.282941462856623,-0.004789023751161402,1.9416218869375632,-2.624261038775683
Reanalysis,1.0,Tropics,-0.1318154746392977,1.12310195138267,-0.02082906786164437,0.9912864767433724,-1.2549174260219678
Reanalysis,2.0,Amazon,7.292216625552578,4.6977400231225035,0.09229024808033073,11.989956648675083,2.594476602430075
Reanalysis,2.0,Congo,4.573483545350165,6.532844362515736,0.0748581876762329,11.106327907865902,-1.959360817165571
Reanalysis,2.0,SEA,3.2407896894177717,3.865639011827323,0.20848369925961144,7.106428701245095,-0.6248493224095513
Reanalysis,2.0,Tropics,5.718648917379403,3.0672255799426043,0.04785150392859507,8.785874497322007,2.6514233374367984
Satellite,0.05,Amazon,0.024235574328518417,0.027189320634526597,-0.003299691851944748,0.05142489496304502,-0.0029537463060081807
Satellite,0.05,Congo,-0.028971704113294472,0.03242288914434625,-0.0010880351480218311,0.0034511850310517747,-0.06139459325764072
Satellite,0.05,SEA,-0.1333247029461518,0.03506037103151981,-0.007910862983736307,-0.098264331914632,-0.1683850739776716
Satellite,0.05,Tropics,-0.02177203631417256,0.016273122349255608,-0.0037461554632758753,-0.005498913964916953,-0.03804515866342817
Satellite,0.1,Amazon,-0.15995431253830142,0.06338297102274197,-0.014261979810493548,-0.09657134151555945,-0.22333728356104338
Satellite,0.1,Congo,-0.06640317682026896,0.07453589939561785,-0.004532160722761474,0.008132722575348889,-0.1409390762158868
Satellite,0.1,SEA,-0.1245772055832711,0.08830751769707447,-0.017679514146499826,-0.036269687886196625,-0.21288472328034558
Satellite,0.1,Tropics,-0.09548781053765361,0.039390068284960174,-0.011984953661086166,-0.056097742252693435,-0.1348778788226138
Satellite,0.25,Amazon,-0.47275774367145035,0.13771736428011788,-0.02145438075577255,-0.33504037939133247,-0.6104751079515682
Satellite,0.25,Congo,0.3393658591104734,0.17067013642167947,0.03946498936606301,0.5100359955321528,0.16869572268879393
Satellite,0.25,SEA,0.3423487954064932,0.1693330159665978,-0.004542050900299591,0.511681811373091,0.1730157794398954
Satellite,0.25,Tropics,-0.0538113979447516,0.07923933384841662,-0.0019799102312109754,0.025427935903665023,-0.13305073179316823
Satellite,0.5,Amazon,-1.8640609384525328,0.3444645281741347,-0.0880857368409825,-1.519596410278398,-2.2085254666266674
Satellite,0.5,Congo,0.5717178686408877,0.49015128302093375,-0.013621765150890607,1.0618691516618215,0.08156658561995395
Satellite,0.5,SEA,0.18246610056007645,0.4468878100634223,-0.08414467329716646,0.6293539106234988,-0.26442170950334587
Satellite,0.5,Tropics,-0.5004361579794342,0.21017201097055616,-0.052988624096771006,-0.29026414700887804,-0.7106081689499903
Satellite,1.0,Amazon,-2.343734934924574,1.0351099069529364,-0.0971466692048662,-1.3086250279716378,-3.3788448418775108
Satellite,1.0,Congo,4.113236696940245,1.3098978168409008,0.10878041022965358,5.423134513781146,2.8033388800993437
Satellite,1.0,SEA,0.8654298499050244,0.9339102734909358,-0.03743322708344561,1.79934012339596,-0.06848042358591144
Satellite,1.0,Tropics,0.3135905396665883,0.5711767166347463,0.015785529922914227,0.8847672563013347,-0.25758617696815805
Satellite,2.0,Amazon,0.5454467565222498,1.631805533092455,-0.216559939664233,2.177252289614705,-1.0863587765702052
Satellite,2.0,Congo,-7.088530116718705,1.9302314550750161,-0.23288532502645282,-5.158298661643689,-9.018761571793721
Satellite,2.0,SEA,-1.6670216646123563,1.5404930486760748,-0.007030183177565414,-0.1265286159362815,-3.207514713288431
Satellite,2.0,Tropics,-0.858016760306317,1.0016612740400195,-0.12197552585509672,0.14364451373370246,-1.8596780343463366
Station,0.25,Amazon,-1.1953860128832845,0.4825779206375218,-0.08937912824759994,-0.7128080922457627,-1.6779639335208063
Station,0.25,Congo,-0.12181674199122744,0.30052428569210127,0.0,0.17870754370087383,-0.4223410276833287
Station,0.25,SEA,0.09127527086796676,0.34373459072066154,-0.0010857329209636704,0.4350098615886283,-0.25245931985269476
Station,0.25,Tropics,-0.36133138638066536,0.2104649992930831,0.0,-0.15086638708758227,-0.5717963856737485
Station,0.5,Amazon,0.25942623520935676,0.581818388511979,-0.0027647942119848755,0.8412446237213358,-0.3223921533026222
Station,0.5,Congo,-0.7520643752138076,0.6788330829973238,0.0,-0.07323129221648383,-1.4308974582111316
Station,0.5,SEA,-0.09619541800145648,0.46441655452988684,-0.012101885401421,0.36822113652843036,-0.5606119725313433
Station,0.5,Tropics,0.06531277183410861,0.2968107482069702,0.0,0.3621235200410788,-0.23149797637286157
Station,1.0,Amazon,3.3955666209908966,2.3298651592304416,0.04326855316466201,5.725431780221339,1.065701461760455
Station,1.0,Congo,0.2261433378910822,1.948379708499483,0.015555504903014735,2.174523046390565,-1.7222363706084007
Station,1.0,SEA,-2.5927695581537984,2.2081776644961146,0.0,-0.38459189365768376,-4.8009472226499135
Station,1.0,Tropics,0.8690204073211971,1.1997767626515055,0.025835990623008183,2.0687971699727026,-0.33075635533030834
Station,2.0,Amazon,14.822728876195072,8.234242421087115,0.05945167927852024,23.05697129728219,6.588486455107956
Station,2.0,Congo,-6.233238021105643,3.888369221012758,-0.21777010068244124,-2.344868800092885,-10.121607242118401
Station,2.0,SEA,-3.7444807000610534,4.658857954898832,0.058883648597887306,0.9143772548377789,-8.403338654959885
Station,2.0,Tropics,6.43592331155367,4.461681179007709,-0.0034321047188490654,10.897604490561378,1.9742421325459611
